StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q6_18,Q6_19,Q6_20,Q6_21,Q6_22,Q6_23,Q6_24,Q6_25,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,הכנס/י את המספר שקיבלת,הכנס/י את המספר של המשתתף/ת הנוסף/ת,עם איזה מגדר את/ה הכי מזדהה?,מה הוא גילך?,באיזה פקולטה אתה לומד?,"להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - מצבים מאתגרים נראים בעיני כהזדמנות לצמיחה וללמידה","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - חשיבה על פתרונות לבעיות מורכבות (מושגיות או רעיונות) בתחום שמעניין אותי יכולה להדיר שינה מעיני","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - ספק ולו הקטן ביותר יכול למנוע ממני לחפש חוויות חדשות","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני אוהב\ת ללמוד על מנהגים או הרגלים של אנשים אחרים","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - החשש מעשיית משהו חדש מרגש ומחייה אותי","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - תמיד אני מחפש\ת חוויות שמאתגרות את האופן בו אני חושב\ת על עצמי ועל העולם","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני יכול\ה להקדיש שעות לבעיה אחת ויחידה כי אין לי מנוח עד שאדע את התשובה","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני לא יכול\ה להתמודד עם הלחץ שאני חש\ה במצבי אי ודאות","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני אוה\ת לגלות ולהבין מדוע אנשים מתנהגים כפי שהם מתנהגים","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - לקיחת סיכונים שונים (למשל, סיכונים מבחינה פיזית, חברתית, חוקית ו\או פיננסית) מרגשת אותי","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני מחפש\ת מצבים בהם סביר שאצטרך לחשוב לעומק על משהו","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - מתסכל אותי אם אני לא מוצא\ת פתרון לבעיה ולכן זה מדרבן אותי להתאמץ עוד יותר כדי להגיע לפיתרון","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - קשה לי לחקור מקומות חדשים כשאני לא בטוח\ה ביכולותיי","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - כאשר אנשים משוחיים בינהם, אני אוהב\ת לגלות על מה מדובר","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - כשיש לי פנאי, אני רוצה לעשות דברים מעט מפחידים (הרפתקנים)","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני נהנה\ת ללמוד על נושאים שאינם מוכרים לי","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני עובד\ת ללא הרף על בעיות שלדעתי חייות להיפתר","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני לא יכול\ה לתפקד היטב התנסות חדשה, אם אני לא סבור\ה שהיא בטיחותית","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - כשאני בין אנשים, אני אוהב\ת להקשיב לשיחות שלהם","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - יצירת הרפתקה תוך כדי תנועה מושכת אותי הרבה יותר מאשר הרפתקה מתוכננת","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - מרתק אותי ללמוד מידע חדש","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - מתסכל אותי כשחסר לי כל המידע שנחוץ לי","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - קשה לי להתרכז כאשר יש אפשרות שאופתע","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - כאשר אנשים רבים בינהם, אני אוהב\ת לדעת מה קורה","להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני מעדיף\ה חברים הם בלתי צפויים במיוחד","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - מצבים מאתגרים נראים בעיני כהזדמנות לצמיחה וללמידה","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - חשיבה על פתרונות לבעיות מורכבות (מושגיות או רעיונות) בתחום שמעניין אותי יכולה להדיר שינה מעיני","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - ספק ולו הקטן ביותר יכול למנוע ממני לחפש חוויות חדשות","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני אוהב\ת ללמוד על מנהגים או הרגלים של אנשים אחרים","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - החשש מעשיית משהו חדש מרגש ומחייה אותי","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - תמיד אני מחפש\ת חוויות שמאתגרות את האופן בו אני חושב\ת על עצמי ועל העולם","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני יכול\ה להקדיש שעות לבעיה אחת ויחידה כי אין לי מנוח עד שאדע את התשובה","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני לא יכול\ה להתמודד עם הלחץ שאני חש\ה במצבי אי ודאות","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני אוה\ת לגלות ולהבין מדוע אנשים מתנהגים כפי שהם מתנהגים","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - לקיחת סיכונים שונים (למשל, סיכונים מבחינה פיזית, חברתית, חוקית ו\או פיננסית) מרגשת אותי","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני מחפש\ת מצבים בהם סביר שאצטרך לחשוב לעומק על משהו","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - מתסכל אותי אם אני לא מוצא\ת פתרון לבעיה ולכן זה מדרבן אותי להתאמץ עוד יותר כדי להגיע לפיתרון","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - קשה לי לחקור מקומות חדשים כשאני לא בטוח\ה ביכולותיי","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - כאשר אנשים משוחיים בינהם, אני אוהב\ת לגלות על מה מדובר","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - כשיש לי פנאי, אני רוצה לעשות דברים מעט מפחידים (הרפתקנים)","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני נהנה\ת ללמוד על נושאים שאינם מוכרים לי","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני עובד\ת ללא הרף על בעיות שלדעתי חייות להיפתר","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני לא יכול\ה לתפקד היטב התנסות חדשה, אם אני לא סבור\ה שהיא בטיחותית","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - כשאני בין אנשים, אני אוהב\ת להקשיב לשיחות שלהם","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - יצירת הרפתקה תוך כדי תנועה מושכת אותי הרבה יותר מאשר הרפתקה מתוכננת","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - מרתק אותי ללמוד מידע חדש","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - מתסכל אותי כשחסר לי כל המידע שנחוץ לי","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - קשה לי להתרכז כאשר יש אפשרות שאופתע","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - כאשר אנשים רבים בינהם, אני אוהב\ת לדעת מה קורה","עכשיו, נסה/י למלא את אותן השאלות על המשתתפ/ת השניים בניסוי.להלן היגדים שאנשים נוהגים להשתמש בהם כדי לתאר את עצמם. אנא השתמש\י בסולם הבא (בן שבע דרגות) כדי לציין את המידה שבה כל אחד מההיגדים בשאלון מתאר אותך במדויק. לתשומת ליבך, אין לשאלות תשובות נכונות או בלתי-נכונות - אני מעדיף\ה חברים הם בלתי צפויים במיוחד"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID23_5""}","{""ImportId"":""QID23_6""}","{""ImportId"":""QID23_7""}","{""ImportId"":""QID23_8""}","{""ImportId"":""QID23_9""}","{""ImportId"":""QID23_10""}","{""ImportId"":""QID23_11""}","{""ImportId"":""QID23_12""}","{""ImportId"":""QID23_13""}","{""ImportId"":""QID23_14""}","{""ImportId"":""QID23_15""}","{""ImportId"":""QID23_16""}","{""ImportId"":""QID23_17""}","{""ImportId"":""QID23_18""}","{""ImportId"":""QID23_19""}","{""ImportId"":""QID23_20""}","{""ImportId"":""QID23_21""}","{""ImportId"":""QID23_22""}","{""ImportId"":""QID23_23""}","{""ImportId"":""QID23_24""}","{""ImportId"":""QID23_25""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID24_7""}","{""ImportId"":""QID24_8""}","{""ImportId"":""QID24_9""}","{""ImportId"":""QID24_10""}","{""ImportId"":""QID24_11""}","{""ImportId"":""QID24_12""}","{""ImportId"":""QID24_13""}","{""ImportId"":""QID24_14""}","{""ImportId"":""QID24_15""}","{""ImportId"":""QID24_16""}","{""ImportId"":""QID24_17""}","{""ImportId"":""QID24_18""}","{""ImportId"":""QID24_19""}","{""ImportId"":""QID24_20""}","{""ImportId"":""QID24_21""}","{""ImportId"":""QID24_22""}","{""ImportId"":""QID24_23""}","{""ImportId"":""QID24_24""}","{""ImportId"":""QID24_25""}"
2018-07-16 22:11:00,2018-07-17 04:09:41,0,192.114.23.209,100,21520,1,2018-07-17 04:09:41,R_3fCRkh4DbJ0wYG3,,,,,32.066696166992,34.766693115234,anonymous,HE,1001,1002,2,25,1,7,6,2,6,6,6,6,2,6,6,5,6,2,2,4,6,5,5,6,6,6,6,5,5,4,7,6,6,6,2,6,,2,5,6,4,6,4,6,5,6,6,4,6,6,6,6,4,6,5
2018-07-17 03:08:02,2018-07-17 04:10:02,0,192.114.23.211,100,3720,1,2018-07-17 04:10:03,R_T0XBL56hAxluklX,,,,,32.066696166992,34.766693115234,anonymous,HE,1002,1001,2,26,1,5,5,3,5,5,5,2,2,5,6,5,5,1,5,6,5,3,1,6,6,5,5,1,5,3,5,5,7,2,4,2,5,3,3,6,3,6,5,6,2,3,2,6,6,4,3,6,6,6,2
2018-07-17 04:25:23,2018-07-17 04:48:33,0,192.114.23.211,100,1390,1,2018-07-17 04:48:33,R_zTMyhcFzWYmcWVH,,,,,32.066696166992,34.766693115234,anonymous,HE,1004,1003,1,24,1,5,5,5,4,4,5,4,4,5,4,4,5,5,6,5,5,5,4,5,4,5,6,4,5,2,5,5,3,5,2,5,6,1,5,1,5,3,1,3,2,6,5,2,3,4,5,2,1,1,1
2018-07-17 04:25:38,2018-07-17 04:50:46,0,192.114.23.211,100,1508,1,2018-07-17 04:50:47,R_eXmzxloxvJp1iF3,,,,,32.066696166992,34.766693115234,anonymous,HE,1003,1004,2,26,1,6,6,4,6,6,6,5,2,6,6,6,6,3,5,5,6,5,4,5,6,6,5,5,5,5,6,6,5,5,5,5,6,2,5,5,5,5,4,5,4,7,5,5,5,4,7,6,6,5,5
2018-07-17 04:53:13,2018-07-17 06:18:18,0,192.114.23.208,100,5105,1,2018-07-17 06:18:19,R_3qvRT5PBnS49i73,,,,,32.066696166992,34.766693115234,anonymous,HE,1005,1006,1,27,3,5,5,3,4,5,4,6,4,3,3,5,5,4,4,3,6,4,3,3,3,6,4,2,4,2,5,5,3,4,4,5,3,3,6,2,4,4,5,3,3,4,4,4,3,3,5,2,3,3,1
2018-07-17 04:53:05,2018-07-17 06:18:43,0,192.114.23.211,100,5137,1,2018-07-17 06:18:43,R_2Xo2nmZQkRu6zNI,,,,,32.066696166992,34.766693115234,anonymous,HE,1006,1005,1,23,1,7,6,4,4,4,6,3,3,5,1,5,7,5,3,1,7,3,6,7,3,7,4,4,3,1,6,7,4,7,5,7,3,2,4,2,3,6,3,2,2,7,3,3,2,5,7,4,2,2,2
2018-07-18 04:48:45,2018-07-18 05:36:39,0,192.114.23.208,100,2873,1,2018-07-18 05:36:39,R_2BlWCg4YPSgjpwH,,,,,32.066696166992,34.766693115234,anonymous,HE,1007,1008,2,25,7,7,7,3,7,6,7,4,7,7,7,7,7,1,4,5,6,4,5,4,5,6,6,3,4,4,7,5,1,1,4,4,5,3,4,4,5,4,4,6,6,4,5,5,6,5,6,4,,6,5
2018-07-18 04:47:07,2018-07-18 05:37:27,0,192.114.23.211,100,3019,1,2018-07-18 05:37:27,R_1nN2ewXYPSA5fOK,,,,,32.066696166992,34.766693115234,anonymous,HE,1008,1007,1,25,6,7,6,5,7,5,7,7,7,7,1,7,7,6,3,2,5,5,7,3,4,7,7,5,4,1,7,7,6,7,7,6,5,5,6,5,5,5,6,6,6,6,4,4,4,5,5,4,5,5,5
